Method Name,CCM,CND,CDISP,CINT,FDP,HD,HEF,HER,HL,HVC,HVL,LOC,LAA,LND,MMI,MND,CC,NOAV,NOL,NOPM,
com.example.Application.main(String[]),0,0,1.0,1,0,2.5,38.7744,0.0038,6,6,15.5098,3,0.0,0,81.3571,0,1,1,0,1,
com.example.PDF.PDF.getContent(),0,0,0.0,0,0,1.5,12.0,0.0017,4,4,8.0,1,1.0,0,93.6766,0,1,1,0,0,
com.example.PDF.PDF.getId(),0,0,0.0,0,0,1.0,4.7549,0.0009,3,3,4.7549,2,1.0,0,89.2177,0,1,1,0,0,
com.example.PDF.PDF.getName(),0,0,0.0,0,0,1.0,4.7549,0.0009,3,3,4.7549,1,1.0,0,95.7844,0,1,1,0,0,
com.example.PDF.PDF.setContent(byte[]),0,0,0.0,0,0,2.0,31.0196,0.0033,6,6,15.5098,1,1.0,0,91.765,0,1,2,0,1,
com.example.PDF.PDF.setName(String),0,0,0.0,0,0,1.5,17.4145,0.0022,5,5,11.6096,1,1.0,0,92.7082,0,1,2,0,1,
com.example.PDF.PDFRepository.findAllBy(Pageable),0,0,0.0,0,0,0.0,NaN,NaN,0,0,NaN,0,0.0,0,0.0,N/A,1,N/A,0,1,
com.example.PDF.PDFService.createAndSavePDF(String, String),0,0,0.3846,13,2,17.0,3716.3555,0.08,45,29,218.6091,19,0.25,0,55.7314,0,1,9,0,2
com.example.PDF.ui.PDFView.PDFView(),1,0,1.0,5,1,6.0,674.2208,0.0256,26,20,112.3701,13,0.5,0,61.2586,2,2,5,0,0,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Application.main(String[]),,,,,,,,,,,,,,,,,,,,,
"Este método é relativamente simples, com baixa complexidade  e nenhum acoplamento relevante. Possui poucas linhas de código, o que facilita a leitura e manutenção. A manutenbilidade é excelente (MMI > 80), indicando que futuras alterações provavelmente serão realizadas sem grande esforço. Este método cumpre bem a função de ponto de entrada da aplicação e não apresenta riscos significativos.",,,,,,,,,,,,,,,,,,,,,
PDF.getContent(),,,,,,,,,,,,,,,,,,,,,
"Método getter trivial que retorna o conteúdo do PDF. Apresenta complexidade mínima, baixo esforço cognitivo e volume reduzido. A manutenção é muito fácil, e não há acoplamento com outras classes. Pode ser considerado seguro e eficiente, sem necessidade de refactoring.",,,,,,,,,,,,,,,,,,,,,
PDF.getId(),,,,,,,,,,,,,,,,,,,,,
"Getter simples que retorna o ID do PDF. Sem complexidade significativa e com esforço Halstead muito baixo. A manutenbilidade é excelente, tornando este método altamente confiável e fácil de compreender.",,,,,,,,,,,,,,,,,,,,,
PDF.getName(),,,,,,,,,,,,,,,,,,,,,
"Método getter de baixo esforço e complexidade, com manutenção simples. Nenhum risco aparente; adequado ao padrão de encapsulamento de dados.",,,,,,,,,,,,,,,,,,,,,
PDF.setContent(byte[]),,,,,,,,,,,,,,,,,,,,,
"Setter que altera o conteúdo do PDF. Apesar de lidar com dados potencialmente grandes, apresenta baixa complexidade e esforço cognitivo aceitável. A manutenção é fácil, mas é importante garantir validações externas se o conteúdo for crítico.",,,,,,,,,,,,,,,,,,,,,
PDF.setName(String),,,,,,,,,,,,,,,,,,,,,
"Setter simples e de baixa complexidade, fácil de manter. Sem dependências externas significativas, não apresenta riscos.",,,,,,,,,,,,,,,,,,,,,
PDFRepository.findAllBy(Pageable),,,,,,,,,,,,,,,,,,,,,
"Método provavelmente abstrato ou de interface, portanto não há implementação concreta. Métricas não se aplicam. Este padrão é típico de repositórios Spring, e não apresenta problemas.",,,,,,,,,,,,,,,,,,,,,
"PDFService.createAndSavePDF(String, String)",,,,,,,,,,,,,,,,,,,,,
"Alerta crítico: Este método apresenta complexidade alta (CINT=13), alto esforço Halstead (HD>3700) e baixa manutenbilidade (MMI=55). Possivelmente concentra muitas responsabilidades, violando o princípio da responsabilidade única (SRP). Recomenda-se refactoring em múltiplos submétodos e, se possível, extrair parte da lógica para classes auxiliares ou utilitárias, a fim de reduzir esforço cognitivo e aumentar a coesão.",,,,,,,,,,,,,,,,,,,,,
PDFView.PDFView(),,,,,,,,,,,,,,,,,,,,,
"Construtor de classe de interface gráfica com lógica de inicialização relativamente complexa. Apresenta esforço Halstead elevado (HD>600) e manutenção média (MMI=61). Há mistura de responsabilidades (UI + inicialização de componentes). Sugere-se separar a inicialização da interface da lógica de configuração ou eventos, aumentando a coesão da classe.",,,,,,,,,,,,,,,,,,,,,
